model,solution_method,spatial_simplification,ode_method,stations_per_cell,delta_t_ratio,delta_t,time,std_time,error
0,traj_iteration,none,RK45,5,0,0,296.57867010775954,48.96627441048622,0.006767117743156869
0,discrete_step,none,RK45,5,0.1,0.40159109690829686,33.47918917424977,48.96627441048622,0.006217607106624101
0,discrete_step,none,RK45,5,0.05,0.20079554845414843,43.40878251474351,48.96627441048622,0.004160837948558206
0,discrete_step,none,RK45,5,0.025,0.10039777422707422,55.61207624990493,48.96627441048622,0.0026339732080097196
0,traj_iteration,none,RK45,10,0,0,396.71624415926635,48.96627441048622,0.006656263017210654
0,discrete_step,none,RK45,10,0.1,0.40159109690829686,44.97220217157155,48.96627441048622,0.005999868983743769
0,discrete_step,none,RK45,10,0.05,0.20079554845414843,57.5345363561064,48.96627441048622,0.003943688461890501
0,discrete_step,none,RK45,10,0.025,0.10039777422707422,73.66066281776875,48.96627441048622,0.002546802730402601
0,traj_iteration,none,RK45,15,0,0,419.01014175638556,48.96627441048622,0.006656263017210654
0,discrete_step,none,RK45,15,0.1,0.40159109690829686,53.27597018145025,48.96627441048622,0.005891207993370676
0,discrete_step,none,RK45,15,0.05,0.20079554845414843,67.32092642225325,48.96627441048622,0.0038349445967588497
0,discrete_step,none,RK45,15,0.025,0.10039777422707422,83.4398189727217,48.96627441048622,0.002459351367809672
0,traj_iteration,none,BDF,5,0,0,1323.8901439728215,5360.975758752786,0.006767033833488612
0,discrete_step,none,BDF,5,0.1,0.40159109690829686,329.83845046069473,5360.975758752786,0.006217483666676496
0,discrete_step,none,BDF,5,0.05,0.20079554845414843,588.3063948573545,5360.975758752786,0.004052209137486763
0,discrete_step,none,BDF,5,0.025,0.10039777422707422,1029.430102753453,5360.975758752786,0.002634074010834625
0,traj_iteration,none,BDF,10,0,0,3048.6132288901135,5360.975758752786,0.006656177056349654
0,discrete_step,none,BDF,10,0.1,0.40159109690829686,623.1720395768061,5360.975758752786,0.005999851177441909
0,discrete_step,none,BDF,10,0.05,0.20079554845414843,1060.1990030435845,5360.975758752786,0.003943583432838887
0,discrete_step,none,BDF,10,0.025,0.10039777422707422,1934.5735494978726,5360.975758752786,0.002546855404094422
0,traj_iteration,none,BDF,15,0,0,4444.291539591737,5360.975758752786,0.006656177056349654
0,discrete_step,none,BDF,15,0.1,0.40159109690829686,800.4372229129076,5360.975758752786,0.005891175161980741
0,discrete_step,none,BDF,15,0.05,0.20079554845414843,1456.520423071459,5360.975758752786,0.003834853662327015
0,discrete_step,none,BDF,15,0.025,0.10039777422707422,2660.503283201717,5360.975758752786,0.002459375106756898
1,traj_iteration,none,RK45,5,0,0,308.4990027928725,57.816640926525,0.005693509158128974
1,discrete_step,none,RK45,5,0.1,0.39860020477837255,42.64646744541824,57.816640926525,0.005251732127676385
1,discrete_step,none,RK45,5,0.05,0.19930010238918627,52.63204311393201,57.816640926525,0.003350975912445184
1,discrete_step,none,RK45,5,0.025,0.09965005119459314,67.06134273298085,57.816640926525,0.002165497622616979
1,traj_iteration,none,RK45,10,0,0,355.90023096092045,57.816640926525,0.00559981934136717
1,discrete_step,none,RK45,10,0.1,0.39860020477837255,56.15807849075645,57.816640926525,0.00510521508913764
1,discrete_step,none,RK45,10,0.05,0.19930010238918627,69.24270884785801,57.816640926525,0.003203871951715234
1,discrete_step,none,RK45,10,0.025,0.09965005119459314,84.5921356389299,57.816640926525,0.0020157088788413506
1,traj_iteration,none,RK45,15,0,0,366.01028065383434,57.816640926525,0.005545787319474141
1,discrete_step,none,RK45,15,0.1,0.39860020477837255,67.93053359724581,57.816640926525,0.00495899663435609
1,discrete_step,none,RK45,15,0.05,0.19930010238918627,82.27755312435329,57.816640926525,0.003203871951715234
1,discrete_step,none,RK45,15,0.025,0.09965005119459314,99.19811560586095,57.816640926525,0.0020157088788413506
1,traj_iteration,none,BDF,5,0,0,1285.6250481680036,3673.75824805256,0.0056933370807170335
1,discrete_step,none,BDF,5,0.1,0.39860020477837255,391.1443392597139,3673.75824805256,0.0052515180260258735
1,discrete_step,none,BDF,5,0.05,0.19930010238918627,692.6297866199166,3673.75824805256,0.003350787065297832
1,discrete_step,none,BDF,5,0.025,0.09965005119459314,1240.614570537582,3673.75824805256,0.002165313796456148
1,traj_iteration,none,BDF,10,0,0,3490.093206051737,3673.75824805256,0.005599720513025085
1,discrete_step,none,BDF,10,0.1,0.39860020477837255,768.5572249488905,3673.75824805256,0.005105017290144219
1,discrete_step,none,BDF,10,0.05,0.19930010238918627,1364.7542286766693,3673.75824805256,0.003203674016311606
1,discrete_step,none,BDF,10,0.025,0.09965005119459314,2401.739330880344,3673.75824805256,0.0020155280884361216
1,traj_iteration,none,BDF,15,0,0,4568.15442317538,3673.75824805256,0.005545593503374635
1,discrete_step,none,BDF,15,0.1,0.39860020477837255,1165.4658180642873,3673.75824805256,0.004958799609980442
1,discrete_step,none,BDF,15,0.05,0.19930010238918627,2040.2940439265221,3673.75824805256,0.003203674016311606
1,discrete_step,none,BDF,15,0.025,0.09965005119459314,3678.20457697846,3673.75824805256,0.0020155280884361216
2,traj_iteration,none,RK45,5,0,0,234.80398662760854,51.76319024898112,0.006309346921590722
2,discrete_step,none,RK45,5,0.1,0.4028091362141668,34.071742438711226,51.76319024898112,0.005533955750809437
2,discrete_step,none,RK45,5,0.05,0.2014045681070834,44.4710208484903,51.76319024898112,0.0037799944582176536
2,discrete_step,none,RK45,5,0.025,0.1007022840535417,58.64790427219123,51.76319024898112,0.0024869980184144716
2,traj_iteration,none,RK45,10,0,0,267.88486283645034,51.76319024898112,0.006309346921590722
2,discrete_step,none,RK45,10,0.1,0.4028091362141668,45.88871560059488,51.76319024898112,0.005514527916404809
2,discrete_step,none,RK45,10,0.05,0.2014045681070834,58.983354954980314,51.76319024898112,0.0035982572984503748
2,discrete_step,none,RK45,10,0.025,0.1007022840535417,75.15024271141738,51.76319024898112,0.002341755061296424
2,traj_iteration,none,RK45,15,0,0,360.5893358429894,51.76319024898112,0.005991171811605633
2,discrete_step,none,RK45,15,0.1,0.4028091362141668,53.00523804873228,51.76319024898112,0.0052286490415111185
2,discrete_step,none,RK45,15,0.05,0.2014045681070834,67.13469867035747,51.76319024898112,0.003596308558943085
2,discrete_step,none,RK45,15,0.025,0.1007022840535417,84.96637166570872,51.76319024898112,0.002341755061296424
2,traj_iteration,none,BDF,5,0,0,1115.5068077780306,3399.6906811567023,0.006309144858348188
2,discrete_step,none,BDF,5,0.1,0.4028091362141668,326.1079936278984,3399.6906811567023,0.005533800061946322
2,discrete_step,none,BDF,5,0.05,0.2014045681070834,579.6391020063311,3399.6906811567023,0.0037799218224551455
2,discrete_step,none,BDF,5,0.025,0.1007022840535417,1050.4597430229187,3399.6906811567023,0.0024869098308672936
2,traj_iteration,none,BDF,10,0,0,2374.968599056825,3399.6906811567023,0.006309144858348188
2,discrete_step,none,BDF,10,0.1,0.4028091362141668,607.404513171874,3399.6906811567023,0.005514512899577307
2,discrete_step,none,BDF,10,0.05,0.2014045681070834,1064.2634911686182,3399.6906811567023,0.00359814023546393
2,discrete_step,none,BDF,10,0.025,0.1007022840535417,1958.0786665882915,3399.6906811567023,0.00234171265642705
2,traj_iteration,none,BDF,15,0,0,3463.4036694169044,3399.6906811567023,0.0059912058349345055
2,discrete_step,none,BDF,15,0.1,0.4028091362141668,837.4177049379796,3399.6906811567023,0.005228555454472274
2,discrete_step,none,BDF,15,0.05,0.2014045681070834,1480.5902812099084,3399.6906811567023,0.0035961439342752886
2,discrete_step,none,BDF,15,0.025,0.1007022840535417,2746.834306702018,3399.6906811567023,0.002340853097039701
3,traj_iteration,none,RK45,5,0,0,176.13125186692923,34.07866300921887,0.0097225144767656
3,discrete_step,none,RK45,5,0.1,0.3962108720425703,25.067959704436362,34.07866300921887,0.007908688105393002
3,discrete_step,none,RK45,5,0.05,0.19810543602128514,30.76986876130104,34.07866300921887,0.005271223773537235
3,discrete_step,none,RK45,5,0.025,0.09905271801064257,40.12514534313232,34.07866300921887,0.0033434331232031515
3,traj_iteration,none,RK45,10,0,0,191.30315979477018,34.07866300921887,0.009462645310981505
3,discrete_step,none,RK45,10,0.1,0.3962108720425703,28.8782153474167,34.07866300921887,0.0073908547208417184
3,discrete_step,none,RK45,10,0.05,0.19810543602128514,34.16906683240086,34.07866300921887,0.004862659217207638
3,discrete_step,none,RK45,10,0.025,0.09905271801064257,42.989498746581376,34.07866300921887,0.0031042445096877065
3,traj_iteration,none,RK45,15,0,0,271.6014490770176,34.07866300921887,0.009462645310981505
3,discrete_step,none,RK45,15,0.1,0.3962108720425703,39.05278563499451,34.07866300921887,0.00726088380611637
3,discrete_step,none,RK45,15,0.05,0.19810543602128514,47.36918462999165,34.07866300921887,0.004725860521374056
3,discrete_step,none,RK45,15,0.025,0.09905271801064257,58.49836064502597,34.07866300921887,0.0030642708136812895
3,traj_iteration,none,BDF,5,0,0,823.2430799240246,1529.9994480358437,0.009722393338867439
3,discrete_step,none,BDF,5,0.1,0.3962108720425703,203.51216688659042,1529.9994480358437,0.007908599355595642
3,discrete_step,none,BDF,5,0.05,0.19810543602128514,345.79474218189716,1529.9994480358437,0.00527116885126149
3,discrete_step,none,BDF,5,0.025,0.09905271801064257,610.9951475961134,1529.9994480358437,0.0033434102198470423
3,traj_iteration,none,BDF,10,0,0,1585.5411846209317,1529.9994480358437,0.009462575949650238
3,discrete_step,none,BDF,10,0.1,0.3962108720425703,346.5131101915613,1529.9994480358437,0.007390792300057998
3,discrete_step,none,BDF,10,0.05,0.19810543602128514,591.8516785800457,1529.9994480358437,0.00486256834087683
3,discrete_step,none,BDF,10,0.025,0.09905271801064257,1036.156550878659,1529.9994480358437,0.0031041979347278276
3,traj_iteration,none,BDF,15,0,0,2721.8378718886524,1529.9994480358437,0.009462575949650238
3,discrete_step,none,BDF,15,0.1,0.3962108720425703,573.088305185549,1529.9994480358437,0.007260836933138679
3,discrete_step,none,BDF,15,0.05,0.19810543602128514,996.2181721450761,1529.9994480358437,0.004725734753739214
3,discrete_step,none,BDF,15,0.025,0.09905271801064257,1683.6352540152147,1529.9994480358437,0.003064238966496647
4,traj_iteration,none,RK45,5,0,0,207.03808802366257,42.45706089865416,0.0065949194613523585
4,discrete_step,none,RK45,5,0.1,0.4006118533469491,30.495279896073043,42.45706089865416,0.005860369451793658
4,discrete_step,none,RK45,5,0.05,0.20030592667347455,39.64366450253874,42.45706089865416,0.003781991283133436
4,discrete_step,none,RK45,5,0.025,0.10015296333673727,51.05800722166896,42.45706089865416,0.0024968222594694152
4,traj_iteration,none,RK45,10,0,0,246.8795310528949,42.45706089865416,0.0065949194613523585
4,discrete_step,none,RK45,10,0.1,0.4006118533469491,44.19577721133828,42.45706089865416,0.00564414344235868
4,discrete_step,none,RK45,10,0.05,0.20030592667347455,54.90909802168608,42.45706089865416,0.0036935450616878227
4,discrete_step,none,RK45,10,0.025,0.10015296333673727,69.3745688367635,42.45706089865416,0.002386690314821745
4,traj_iteration,none,RK45,15,0,0,319.4836944062263,42.45706089865416,0.006435614175781792
4,discrete_step,none,RK45,15,0.1,0.4006118533469491,47.748013720847666,42.45706089865416,0.005486643232893758
4,discrete_step,none,RK45,15,0.05,0.20030592667347455,60.571782663464546,42.45706089865416,0.003530660983034972
4,discrete_step,none,RK45,15,0.025,0.10015296333673727,76.1603898042813,42.45706089865416,0.0023374272016219544
4,traj_iteration,none,BDF,5,0,0,1053.3379364032298,3119.4859583768994,0.006594925901710364
4,discrete_step,none,BDF,5,0.1,0.4006118533469491,278.96674427203834,3119.4859583768994,0.005667819225771467
4,discrete_step,none,BDF,5,0.05,0.20030592667347455,489.3931755833328,3119.4859583768994,0.003781973088774507
4,discrete_step,none,BDF,5,0.025,0.10015296333673727,892.1535324454308,3119.4859583768994,0.0024968597113262272
4,traj_iteration,none,BDF,10,0,0,2436.7255029650405,3119.4859583768994,0.006594925901710364
4,discrete_step,none,BDF,10,0.1,0.4006118533469491,523.846554976888,3119.4859583768994,0.005644158860790477
4,discrete_step,none,BDF,10,0.05,0.20030592667347455,968.3265051152557,3119.4859583768994,0.003693580421273015
4,discrete_step,none,BDF,10,0.025,0.10015296333673727,1779.240544934757,3119.4859583768994,0.0023865937750942594
4,traj_iteration,none,BDF,15,0,0,2885.699266191572,3119.4859583768994,0.00643562046485988
4,discrete_step,none,BDF,15,0.1,0.4006118533469491,793.9215294085443,3119.4859583768994,0.00548665924602738
4,discrete_step,none,BDF,15,0.05,0.20030592667347455,1393.7091907672584,3119.4859583768994,0.003530703069227006
4,discrete_step,none,BDF,15,0.025,0.10015296333673727,2588.940990990028,3119.4859583768994,0.0022683422298048193
5,traj_iteration,none,RK45,5,0,0,269.18848034273833,51.159694800153375,0.00616320171161574
5,discrete_step,none,RK45,5,0.1,0.3985123219962689,37.40042519941926,51.159694800153375,0.005567610493460132
5,discrete_step,none,RK45,5,0.05,0.19925616099813445,48.126743528060615,51.159694800153375,0.003585526617471953
5,discrete_step,none,RK45,5,0.025,0.09962808049906723,58.405672018416226,51.159694800153375,0.0022892919418280935
5,traj_iteration,none,RK45,10,0,0,357.45667530968785,51.159694800153375,0.006043123621638645
5,discrete_step,none,RK45,10,0.1,0.3985123219962689,50.850740702822804,51.159694800153375,0.005331623076946557
5,discrete_step,none,RK45,10,0.05,0.19925616099813445,61.79317925218493,51.159694800153375,0.0034698452910599704
5,discrete_step,none,RK45,10,0.025,0.09962808049906723,76.82613723911345,51.159694800153375,0.0022892919418280935
5,traj_iteration,none,RK45,15,0,0,405.05635582096875,51.159694800153375,0.005804527653665686
5,discrete_step,none,RK45,15,0.1,0.3985123219962689,56.68400248512626,51.159694800153375,0.005096292454470623
5,discrete_step,none,RK45,15,0.05,0.19925616099813445,69.39264004956931,51.159694800153375,0.0033540855444838405
5,discrete_step,none,RK45,15,0.025,0.09962808049906723,83.6090294290334,51.159694800153375,0.0021679429594916428
5,traj_iteration,none,BDF,5,0,0,1253.3972295094281,2800.925958094187,0.006163109415006749
5,discrete_step,none,BDF,5,0.1,0.3985123219962689,351.1683716280386,2800.925958094187,0.005567527857810827
5,discrete_step,none,BDF,5,0.05,0.19925616099813445,632.3955792170018,2800.925958094187,0.003585305206936496
5,discrete_step,none,BDF,5,0.025,0.09962808049906723,1075.6114753633738,2800.925958094187,0.0022890310473234177
5,traj_iteration,none,BDF,10,0,0,2391.8189443368465,2800.925958094187,0.00604292660746207
5,discrete_step,none,BDF,10,0.1,0.3985123219962689,684.2912802202627,2800.925958094187,0.005331498685412873
5,discrete_step,none,BDF,10,0.05,0.19925616099813445,1194.255159736611,2800.925958094187,0.0034696318083629585
5,discrete_step,none,BDF,10,0.025,0.09962808049906723,2044.6214997665957,2800.925958094187,0.0022890310473234177
5,traj_iteration,none,BDF,15,0,0,4199.730790004134,2800.925958094187,0.005804360720929705
5,discrete_step,none,BDF,15,0.1,0.3985123219962689,1020.8237413959578,2800.925958094187,0.005096199879467373
5,discrete_step,none,BDF,15,0.05,0.19925616099813445,1794.0133467195556,2800.925958094187,0.0032378997264101744
5,discrete_step,none,BDF,15,0.025,0.09962808049906723,3079.6451823683456,2800.925958094187,0.00216762200461356
