0,81,traj_iteration,strict,RK45,5,2,10,15.314965259283781,52.589424677193165,0.029060405505427038,0.01172656538928103
0,81,traj_iteration,strict,RK45,5,1,11,16.573647037148476,52.589424677193165,0.029152312194604894,0.011726562971668108
0,81,traj_iteration,strict,RK45,5,0.5,12,17.814446292817593,52.589424677193165,0.029251335569010765,0.011787025452890162
0,81,traj_iteration,none,RK45,5,2,6,122.21097630262375,52.589424677193165,0.011963878294178802,0.004184302345018497
0,81,traj_iteration,none,RK45,5,1,9,181.6834752932191,52.589424677193165,0.0033454268743369304,0.0018966044879744931
0,81,traj_iteration,none,RK45,5,0.5,11,220.90232218801975,52.589424677193165,0.0016917302316176407,0.0010141162938253378
0,81,discrete_step,strict,RK45,5,0.1,0.4014894363800622,1.8856453523039818,52.589424677193165,0.051873680054336374,0.010869106555513156
0,81,discrete_step,none,RK45,5,0.1,0.4014894363800622,21.947532698512077,52.589424677193165,0.032413635059282755,0.008513097386905928
0,81,discrete_step,strict,RK45,5,0.05,0.2007447181900311,2.1889472529292107,52.589424677193165,0.054565661017889414,0.011236268373319336
0,81,discrete_step,none,RK45,5,0.05,0.2007447181900311,28.41198766604066,52.589424677193165,0.019272015414732578,0.006121219461682484
0,81,discrete_step,strict,RK45,5,0.025,0.10037235909501555,3.2458698228001595,52.589424677193165,0.057568581592191186,0.011799840440186855
0,81,discrete_step,none,RK45,5,0.025,0.10037235909501555,36.856052335351706,52.589424677193165,0.010329429595456196,0.004110781852430226
0,81,traj_iteration,strict,RK45,10,2,10,8.37829952314496,52.589424677193165,0.024558060962952565,0.009026099590969606
0,81,traj_iteration,strict,RK45,10,1,12,9.797735426574945,52.589424677193165,0.024750313214986427,0.009026099592469007
0,81,traj_iteration,strict,RK45,10,0.5,13,10.510164935141802,52.589424677193165,0.024758292108306365,0.009026099592469647
0,81,traj_iteration,none,RK45,10,2,6,120.79374708980322,52.589424677193165,0.010305849159090484,0.0038765937021135
0,81,traj_iteration,none,RK45,10,1,8,160.1232900507748,52.589424677193165,0.004155242856649386,0.002238255013368456
0,81,traj_iteration,none,RK45,10,0.5,10,199.12983978539705,52.589424677193165,0.0018631549500809817,0.0011548173480066973
0,81,discrete_step,strict,RK45,10,0.1,0.4014894363800622,1.0093994922935963,52.589424677193165,0.05260710395361334,0.010639215588759516
0,81,discrete_step,none,RK45,10,0.1,0.4014894363800622,21.883603885769844,52.589424677193165,0.030582051464691652,0.008265607910768764
0,81,discrete_step,strict,RK45,10,0.05,0.2007447181900311,1.1497947946190834,52.589424677193165,0.055544478951125895,0.011133163389845435
0,81,discrete_step,none,RK45,10,0.05,0.2007447181900311,28.269815780222416,52.589424677193165,0.018011617090081398,0.0059139515481686205
0,81,discrete_step,strict,RK45,10,0.025,0.10037235909501555,1.6707527935504913,52.589424677193165,0.05830952092218672,0.011745581248724154
0,81,discrete_step,none,RK45,10,0.025,0.10037235909501555,36.87772163003683,52.589424677193165,0.009582654721190239,0.003935137025127421
0,81,traj_iteration,strict,RK45,15,2,10,5.47622736915946,52.589424677193165,0.013753843612171803,0.008337075237160103
0,81,traj_iteration,strict,RK45,15,1,11,5.9540466740727425,52.589424677193165,0.013856034944610438,0.008404938416359576
0,81,traj_iteration,strict,RK45,15,0.5,12,6.421346727758646,52.589424677193165,0.013886538196800463,0.00842165985248544
0,81,traj_iteration,none,RK45,15,2,6,236.73566064983606,52.589424677193165,0.007776342315499502,0.0032901177917695084
0,81,traj_iteration,none,RK45,15,1,8,313.2222244888544,52.589424677193165,0.0027826345964574164,0.0016941244851263327
0,81,traj_iteration,none,RK45,15,0.5,10,390.31997963041067,52.589424677193165,0.001318428817492415,0.0008134622811013994
0,81,discrete_step,strict,RK45,15,0.1,0.4014894363800622,0.6827785074710846,52.589424677193165,0.052468675478684904,0.009383695148141294
